"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Cód.","Município","Ano"
"2104677","Governador Nunes Freire (MA)","258016"
"2104701","Graça Aranha (MA)","54166"
"2104800","Grajaú (MA)","1149837"
"2104909","Guimarães (MA)","93414"
"2105005","Humberto de Campos (MA)","184411"
"2105104","Icatu (MA)","178973"
"2105153","Igarapé do Meio (MA)","370692"
"2105203","Igarapé Grande (MA)","117754"
"2105302","Imperatriz (MA)","7693511"
"2105351","Itaipava do Grajaú (MA)","107310"
"2105401","Itapecuru Mirim (MA)","772940"
"2105427","Itinga do Maranhão (MA)","489270"
"2105450","Jatobá (MA)","75706"
"2105476","Jenipapo dos Vieiras (MA)","125762"
"2105500","João Lisboa (MA)","270665"
"2105609","Joselândia (MA)","116564"
"2105658","Junco do Maranhão (MA)","61714"
"2105708","Lago da Pedra (MA)","550477"
"2105807","Lago do Junco (MA)","86662"
"2105906","Lago Verde (MA)","135765"
"2105922","Lagoa do Mato (MA)","97026"
"2105948","Lago dos Rodrigues (MA)","83998"
"2105963","Lagoa Grande do Maranhão (MA)","102454"
"2105989","Lajeado Novo (MA)","101485"
"2106003","Lima Campos (MA)","274574"
"2106102","Loreto (MA)","413287"
"2106201","Luís Domingues (MA)","57351"
"2106300","Magalhães de Almeida (MA)","140989"
"2106326","Maracaçumé (MA)","207076"
"2106359","Marajá do Sena (MA)","90824"
"2106375","Maranhãozinho (MA)","120934"
"2106409","Mata Roma (MA)","179239"
"2106508","Matinha (MA)","196785"
"2106607","Matões (MA)","256405"
"2106631","Matões do Norte (MA)","99343"
"2106672","Milagres do Maranhão (MA)","64355"
"2106706","Mirador (MA)","277841"
"2106755","Miranda do Norte (MA)","788634"
"2106805","Mirinzal (MA)","112073"
"2106904","Monção (MA)","257693"
"2107001","Montes Altos (MA)","86501"
"2107100","Morros (MA)","149936"
"2107209","Nina Rodrigues (MA)","88539"
"2107258","Nova Colinas (MA)","86441"
"2107308","Nova Iorque (MA)","50977"
"2107357","Nova Olinda do Maranhão (MA)","183185"
"2107407","Olho d'Água das Cunhãs (MA)","188405"
"2107456","Olinda Nova do Maranhão (MA)","107307"
"2107506","Paço do Lumiar (MA)","1240527"
"2107605","Palmeirândia (MA)","139135"
"2107704","Paraibano (MA)","183383"
"2107803","Parnarama (MA)","323004"
"2107902","Passagem Franca (MA)","200120"
"2108009","Pastos Bons (MA)","309545"
"2108058","Paulino Neves (MA)","118360"
"2108108","Paulo Ramos (MA)","194181"
